stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,21097,"Harrison County, Kentucky",6,0.4134881886725456,0.40048173640138357
stateFP,state,current,42085,"Mercer County, Pennsylvania",3,1.0,1.0
stateFP,state,current,21137,"Lincoln County, Kentucky",5,1.0,1.0
stateFP,state,current,51685,"Manassas Park city, Virginia",10,1.0,1.0
stateFP,state,current,1001,"Autauga County, Alabama",2,1.0,1.0
stateFP,state,current,28109,"Pearl River County, Mississippi",4,1.0,1.0
stateFP,state,current,51710,"Norfolk city, Virginia",2,0.3331521261914358,0.40570084647255555
stateFP,state,current,22125,"West Feliciana Parish, Louisiana",5,1.0,1.0
stateFP,state,current,21005,"Anderson County, Kentucky",6,1.0,1.0
stateFP,state,current,53071,"Walla Walla County, Washington",5,0.958513147526014,0.9475001224639078
stateFP,state,current,24005,"Baltimore County, Maryland",8,4.58630056710911e-06,6.688092389009958e-06
stateFP,state,current,29155,"Pemiscot County, Missouri",8,1.0,1.0
stateFP,state,current,29171,"Putnam County, Missouri",6,1.0,1.0
stateFP,state,current,34023,"Middlesex County, New Jersey",12,0.35716164764577535,0.4697462971259557
stateFP,state,current,16085,"Valley County, Idaho",1,1.0,1.0
stateFP,state,current,42091,"Montgomery County, Pennsylvania",2,0.0713608591029917,0.09083325970224734
stateFP,state,current,48043,"Brewster County, Texas",23,1.0,1.0
stateFP,state,current,6065,"Riverside County, California",31,1.4086933972515931e-05,5.106617193933466e-06
stateFP,state,current,37123,"Montgomery County, North Carolina",8,1.0,1.0
stateFP,state,current,12027,"DeSoto County, Florida",17,1.0,1.0
stateFP,state,current,42045,"Delaware County, Pennsylvania",2,1.1071345747640636e-05,7.68030289699935e-06
stateFP,state,current,48125,"Dickens County, Texas",13,1.0,1.0
stateFP,state,current,25019,"Nantucket County, Massachusetts",9,1.0,1.0
stateFP,state,current,48115,"Dawson County, Texas",11,1.0,1.0
stateFP,state,current,28069,"Kemper County, Mississippi",3,1.0,1.0
stateFP,state,current,22085,"Sabine Parish, Louisiana",4,1.0,1.0
stateFP,state,current,55017,"Chippewa County, Wisconsin",3,0.610976849061229,0.5533718895524199
stateFP,state,current,22051,"Jefferson Parish, Louisiana",6,4.396942529411756e-06,3.337907908834451e-06
stateFP,state,current,39035,"Cuyahoga County, Ohio",14,0.08304576638263496,0.11113507095080702
stateFP,state,current,17027,"Clinton County, Illinois",15,1.0,1.0
stateFP,state,current,42011,"Berks County, Pennsylvania",15,0.1305425894430065,0.17155297989407
stateFP,state,current,12031,"Duval County, Florida",5,0.45380570276976007,0.36972675414107947
stateFP,state,current,17031,"Cook County, Illinois",7,0.1560687206556216,0.07659737922430253
stateFP,state,current,29107,"Lafayette County, Missouri",5,1.0,1.0
stateFP,state,current,36005,"Bronx County, New York",14,0.21190988166596086,0.26620800642527254
stateFP,state,current,4015,"Mohave County, Arizona",4,0.9946440059527778,0.9976778292376502
stateFP,state,current,17149,"Pike County, Illinois",18,1.0,1.0
stateFP,state,current,8063,"Kit Carson County, Colorado",4,1.0,1.0
stateFP,state,current,20019,"Chautauqua County, Kansas",4,1.0,1.0
stateFP,state,current,48421,"Sherman County, Texas",13,1.0,1.0
stateFP,state,current,36107,"Tioga County, New York",22,0.22050324816882716,0.22378351885224496
stateFP,state,current,48083,"Coleman County, Texas",11,1.0,1.0
stateFP,state,current,47175,"Van Buren County, Tennessee",4,0.890923090587396,0.8925933242339733
