State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
AZ,2016,Compact,2,144532.83165416218,103084.25309329486,Democrat
AZ,2016,Compact,3,101916.47900931319,111662.70023280647,Republican
AZ,2016,Compact,4,78262.19231073714,112307.49432665303,Republican
AZ,2016,Compact,5,104970.46110821763,110502.63077938634,Republican
AZ,2016,Compact,6,98622.31912169416,113589.73530175381,Republican
AZ,2016,Compact,7,108095.77188892991,98715.85934257142,Democrat
AZ,2016,Compact,8,105888.88576400143,110290.80250299333,Republican
AZ,2016,Compact,9,97287.96453666149,112710.52110444484,Republican
AZ,2016,Competitive,1,93249.47561036897,104265.65913305191,Republican
AZ,2016,Competitive,2,141336.667605824,109078.57209609992,Democrat
AZ,2016,Competitive,3,111577.03853736218,90353.14582721796,Democrat
AZ,2016,Competitive,4,85625.63559393185,167138.7742751796,Republican
AZ,2016,Competitive,5,95149.59419879422,113105.62774834184,Republican
AZ,2016,Competitive,6,99648.84658628356,110519.39984113944,Republican
AZ,2016,Competitive,7,109699.29126203374,99938.47015494679,Democrat
AZ,2016,Competitive,8,95264.28269077725,120628.8422988874,Republican
AZ,2016,Competitive,9,104699.16791462393,106125.5086251357,Republican
AZ,2016,Dem,1,98170.788243536,109259.3743544702,Republican
AZ,2016,Dem,2,139365.30864361813,104092.07021963118,Democrat
AZ,2016,Dem,3,113590.8475247126,95709.46880190448,Democrat
AZ,2016,Dem,4,81888.48195101929,162091.3535493859,Republican
AZ,2016,Dem,5,95962.06121286929,113217.69882875052,Republican
AZ,2016,Dem,6,99775.15781993212,112581.30805998342,Republican
AZ,2016,Dem,7,108572.21816650205,98948.94812982563,Democrat
AZ,2016,Dem,8,94479.70493464709,120993.46644345063,Republican
AZ,2016,Dem,9,104445.43150316311,104260.3116125986,Democrat
AZ,2016,GOP,1,96673.09467577358,148290.003471784,Republican
AZ,2016,GOP,2,123835.8184085913,118891.31583360973,Democrat
AZ,2016,GOP,3,126622.42107988102,91971.88334858802,Democrat
