state_id,fips,name,county_dem_result,county_rep_result
LA,22109,Terrebonne,6711,22499
LA,22121,West Baton Rouge,4056,3724
GA,13045,Carroll,11931,29242
GA,13077,Coweta,16573,40679
GA,13113,Fayette,24094,32978
GA,13145,Harris,3892,11861
GA,13149,Heard,664,3309
GA,13151,Henry,55661,41491
GA,13171,Lamar,2153,5076
GA,13199,Meriwether,3428,5055
GA,13215,Muscogee,38729,23748
GA,13231,Pike,1149,7261
GA,13255,Spalding,8919,14950
GA,13285,Troup,8690,14809
GA,13293,Upson,3326,7063
MO,29007,Audrain,2298,6107
MO,29011,Barton,670,4196
MO,29013,Bates,1591,4893
MO,29015,Benton,2145,5966
MO,29019,Boone,39830,32797
MO,29029,Camden,4424,15031
MO,29037,Cass,14677,27737
MO,29039,Cedar,860,4406
MO,29053,Cooper,1833,5000
MO,29057,Dade,526,2746
MO,29059,Dallas,1163,5129
MO,29083,Henry,2484,5878
MO,29085,Hickory,934,3069
MO,29089,Howard,1264,2807
MO,29101,Johnson,5763,11324
MO,29105,LaClede,2198,10959
MO,29135,Moniteau,1177,4627
MO,29141,Morgan,1651,5985
MO,29159,Pettis,4226,10386
MO,29169,Pulaski,2445,8024
MO,29175,Randolph,2211,6373
MO,29185,St. Clair,1047,2948
MO,29217,Vernon,1617,5377
MO,29225,Webster,2964,11098
OH,39039,Defiance,4420,9196
OH,39051,Fulton,4735,11180
OH,39063,Hancock,7595,19988
OH,39065,Hardin,2487,6596
OH,39069,Henry,2744,7803
OH,39095,Lucas,91847,57479
OH,39123,Ottawa,7956,10143
OH,39125,Paulding,1972,4741
OH,39137,Putnam,2218,12387
OH,39161,Van Wert,2188,8322
OH,39171,Williams,3465,9537
OH,39173,Wood,21269,27382
OH,39175,Wyandot,1959,5968
NC,37057,Davidson,14898,40468
NC,37059,Davie,4396,12613
