maptype,stateID,state,district,district_dem_result,district_rep_result,district_winner
Dem,19,IA,4,141718.54366402896,167551.90150932266,R
Dem,20,KS,1,66818.53203029401,153001.66959786505,R
Dem,20,KS,2,122589.38070225023,153675.8455590929,R
Dem,20,KS,3,161884.52583226495,107440.28136482829,D
Dem,20,KS,4,95841.56143519068,135445.2034782138,R
Dem,21,KY,1,83756.69977378886,165031.19000878496,R
Dem,21,KY,2,60085.21866414113,189885.32512838853,R
Dem,21,KY,3,172305.98700178735,104681.4608506662,D
Dem,21,KY,4,92547.39078178142,171510.16014212358,R
Dem,21,KY,5,69942.04770940778,170017.3175568032,R
Dem,21,KY,6,134432.6560690935,134439.5463132335,R
Dem,22,LA,1,85178.63945894189,135123.44626325156,R
Dem,22,LA,2,159978.88823480866,70505.20434375663,D
Dem,22,LA,3,63356.52988434779,169103.1734545993,R
Dem,22,LA,4,75745.26707918079,150111.00277942797,R
Dem,22,LA,5,96164.7071422507,118874.96352558688,R
Dem,22,LA,6,72759.96820047025,196478.0712500569,R
Dem,23,ME,1,181545.15695998687,112017.469844174,D
Dem,23,ME,2,146863.84304001313,129162.530155826,D
Dem,24,MD,1,165134.9570771193,100138.65859319973,D
Dem,24,MD,2,158802.54890091368,97275.2324399854,D
Dem,24,MD,3,204225.7752078984,76992.71326880892,D
Dem,24,MD,4,188562.1561637759,55140.83427727601,D
Dem,24,MD,5,173922.29380967355,94465.2729839326,D
Dem,24,MD,6,173666.49593402838,84513.72075067888,D
Dem,24,MD,7,146511.09358435206,91683.23490379858,D
Dem,24,MD,8,159726.6793222387,98845.33278231988,D
Dem,25,MA,1,231689.9561713379,19281.67076512777,D
Dem,25,MA,2,188993.56408012396,83121.43683899843,D
Dem,25,MA,3,165271.39466690744,82983.95638724853,D
Dem,25,MA,4,55602.890428091036,26216.62218975054,D
Dem,25,MA,5,182878.35002778846,69234.6434430843,D
Dem,25,MA,6,197819.08048484166,91766.80861077212,D
Dem,25,MA,7,33176.84367831312,6838.134958422126,D
Dem,25,MA,8,59784.87039700771,50290.075190895,D
Dem,25,MA,9,121325.05006558882,75560.15947394406,D
Dem,26,MI,1,144706.22376306352,186851.32888005557,R
Dem,26,MI,2,125621.97175041086,198977.11316116643,R
Dem,26,MI,3,159056.92960156788,126213.53917329878,D
Dem,26,MI,4,108085.32001537915,178096.591199796,R
Dem,26,MI,5,157662.77353628818,106100.05132274158,D
Dem,26,MI,6,108587.1396193235,170415.4424323474,R
Dem,26,MI,7,170047.83315066976,96543.39931045313,D
Dem,26,MI,8,162716.6901842136,123383.63680944525,D
Dem,26,MI,9,169383.09511075105,134100.94202332007,D
Dem,26,MI,10,121616.00930541297,173064.72375429168,R
Dem,26,MI,11,255840.92758479912,125620.11076327959,D
Dem,26,MI,12,139154.15308018966,91250.74448768079,D
Dem,26,MI,13,187979.94841757655,72306.12415787842,D
Dem,26,MI,14,164543.9848803535,70535.25252424544,D
Dem,27,MN,1,150427.0881942423,144876.17568821722,D
Dem,27,MN,2,215954.08753965225,126100.81766247937,D
Dem,27,MN,3,181845.34493385197,140206.4862307051,D
Dem,27,MN,4,166983.1908825094,139285.9013100482,D
Dem,27,MN,5,225040.2598165411,125490.33989910416,D
Dem,27,MN,6,193537.46468865633,153688.0022314314,D
Dem,27,MN,7,143104.4533065033,142941.92294239393,D
Dem,27,MN,8,143783.11063804338,152990.3540356204,R
Dem,28,MS,1,66307.7793457015,175019.39988836632,R
Dem,28,MS,2,128237.84256626424,105108.82868309012,D
Dem,28,MS,3,120459.77365002039,102929.76455824477,D
Dem,28,MS,4,64761.40571406589,152163.91071479893,R
Dem,29,MO,1,181954.06903284055,121540.31170896291,D
Dem,29,MO,2,203267.94310044637,119619.24019377878,D
Dem,29,MO,3,115542.22856035255,188592.64205657272,R
Dem,29,MO,4,100742.43659475846,192598.61981447577,R
